time/s	Ewe/V	<I>/mA
09/03/2025 11:56:18.2708	5.1357981E-002	1.534571170806885E+000
09/03/2025 11:56:18.4578	6.0781557E-002	2.418615025827449E+000
09/03/2025 11:56:18.4778	6.1770041E-002	2.077631658253573E+000
09/03/2025 11:56:18.4978	6.2757269E-002	1.740717202838926E+000
09/03/2025 11:56:18.5178	6.3776508E-002	1.498261581899395E+000
09/03/2025 11:56:18.5378	6.4773306E-002	1.336729692191721E+000
09/03/2025 11:56:18.5578	6.5765455E-002	1.229735204846492E+000
09/03/2025 11:56:18.5778	6.6769116E-002	1.157749486569728E+000
09/03/2025 11:56:18.5978	6.7762010E-002	1.111262437370088E+000
09/03/2025 11:56:18.6178	6.8767600E-002	1.078452725273877E+000
09/03/2025 11:56:18.6378	6.9761746E-002	1.053183692714409E+000
09/03/2025 11:56:18.6578	7.0765734E-002	1.033549626978733E+000
09/03/2025 11:56:18.6778	7.1760781E-002	1.018063780334262E+000
09/03/2025 11:56:18.6978	7.2774604E-002	1.005550525979039E+000
09/03/2025 11:56:18.7178	7.3766567E-002	9.957871234251456E-001
09/03/2025 11:56:18.7378	7.4771300E-002	9.862108901143118E-001
09/03/2025 11:56:18.7578	7.5777739E-002	9.804667402058840E-001
09/03/2025 11:56:18.7778	7.6759279E-002	9.733511547868474E-001
09/03/2025 11:56:18.7978	7.7759132E-002	9.726944911397144E-001
09/03/2025 11:56:18.8178	7.8776062E-002	9.723471603873719E-001
09/03/2025 11:56:18.8378	7.9767749E-002	9.720435066459112E-001
09/03/2025 11:56:18.8578	8.0752201E-002	9.650689531117731E-001
09/03/2025 11:56:18.8778	8.1760235E-002	9.650831612137445E-001
09/03/2025 11:56:18.8978	8.2756586E-002	9.650998962008295E-001
09/03/2025 11:56:18.9178	8.3759718E-002	9.650599320626108E-001
09/03/2025 11:56:18.9378	8.4758408E-002	9.652509526867021E-001
09/03/2025 11:56:18.9578	8.5759215E-002	9.656120949010862E-001
09/03/2025 11:56:18.9778	8.6766601E-002	9.659057399775399E-001
09/03/2025 11:56:18.9978	8.7757647E-002	9.662894829590236E-001
09/03/2025 11:56:19.0178	8.8758670E-002	9.668641452056725E-001
09/03/2025 11:56:19.0378	8.9755192E-002	9.674477844188658E-001
09/03/2025 11:56:19.0578	9.0766840E-002	9.683603281155229E-001
09/03/2025 11:56:19.0778	9.1786258E-002	9.692568414223679E-001
09/03/2025 11:56:19.0978	9.2762604E-002	9.701528270832380E-001
09/03/2025 11:56:19.1178	9.3771197E-002	9.710779123836142E-001
09/03/2025 11:56:19.1378	9.4763666E-002	9.763119786770829E-001
09/03/2025 11:56:19.1578	9.5763884E-002	9.808304139102528E-001
09/03/2025 11:56:19.1778	9.6763745E-002	9.849385714365368E-001
09/03/2025 11:56:19.1978	9.7756147E-002	9.903281976779326E-001
09/03/2025 11:56:19.2178	9.8765194E-002	9.951131485609501E-001
09/03/2025 11:56:19.2378	9.9768244E-002	9.991417627574677E-001
09/03/2025 11:56:19.2578	1.0075582E-001	1.003121988020013E+000
09/03/2025 11:56:19.2778	1.0174993E-001	1.005962707930149E+000
09/03/2025 11:56:19.2978	1.0275537E-001	1.010760255571867E+000
09/03/2025 11:56:19.3178	1.0376264E-001	1.013844061642889E+000
09/03/2025 11:56:19.3378	1.0475655E-001	1.018792481161654E+000
09/03/2025 11:56:19.3578	1.0576729E-001	1.021456737381717E+000
09/03/2025 11:56:19.3778	1.0676171E-001	1.023845683576336E+000
09/03/2025 11:56:19.3978	1.0775426E-001	1.027123122476043E+000
09/03/2025 11:56:19.4178	1.0878257E-001	1.032089033784967E+000
09/03/2025 11:56:19.4378	1.0976503E-001	1.035012607462706E+000
09/03/2025 11:56:19.4578	1.1077402E-001	1.038783026341761E+000
09/03/2025 11:56:19.4778	1.1176437E-001	1.042546715276938E+000
09/03/2025 11:56:19.4978	1.1276200E-001	1.043647991907267E+000
09/03/2025 11:56:19.5178	1.1374192E-001	1.047601190499137E+000
09/03/2025 11:56:19.5378	1.1475887E-001	1.050857800265984E+000
09/03/2025 11:56:19.5578	1.1577787E-001	1.054582453436325E+000
09/03/2025 11:56:19.5778	1.1677444E-001	1.055571576683892E+000
09/03/2025 11:56:19.5978	1.1776698E-001	1.058540262488858E+000
09/03/2025 11:56:19.6178	1.1877717E-001	1.059465032795243E+000
09/03/2025 11:56:19.6378	1.1978139E-001	1.062411462681165E+000
09/03/2025 11:56:19.6578	1.2077428E-001	1.062802208173610E+000
09/03/2025 11:56:19.6778	1.2176847E-001	1.065153140574706E+000
09/03/2025 11:56:19.6978	1.2275452E-001	1.066491987349261E+000
09/03/2025 11:56:19.7178	1.2376142E-001	1.066763235049116E+000
09/03/2025 11:56:19.7378	1.2477190E-001	1.067114733056066E+000
09/03/2025 11:56:19.7578	1.2575650E-001	1.070381080524793E+000
09/03/2025 11:56:19.7778	1.2678738E-001	1.070539572483144E+000
09/03/2025 11:56:19.7978	1.2777837E-001	1.070648836178915E+000
09/03/2025 11:56:19.8178	1.2877488E-001	1.070651279865868E+000
09/03/2025 11:56:19.8378	1.2976946E-001	1.070639687693784E+000
09/03/2025 11:56:19.8578	1.3077065E-001	1.070422327249418E+000
09/03/2025 11:56:19.8778	1.3178392E-001	1.070181250261774E+000
09/03/2025 11:56:19.8978	1.3277511E-001	1.069856300639612E+000
09/03/2025 11:56:19.9178	1.3376589E-001	1.069724232372316E+000
09/03/2025 11:56:19.9378	1.3477384E-001	1.069368481636050E+000
09/03/2025 11:56:19.9578	1.3574892E-001	1.068805779640879E+000
09/03/2025 11:56:19.9778	1.3677575E-001	1.068212644300530E+000
09/03/2025 11:56:19.9978	1.3776590E-001	1.067512670221429E+000
09/03/2025 11:56:20.0178	1.3876641E-001	1.066799370054575E+000
09/03/2025 11:56:20.0378	1.3977128E-001	1.065821658612954E+000
09/03/2025 11:56:20.0578	1.4076997E-001	1.064852833747867E+000
09/03/2025 11:56:20.0778	1.4178054E-001	1.063701295604320E+000
09/03/2025 11:56:20.0978	1.4276478E-001	1.058500985614959E+000
09/03/2025 11:56:20.1178	1.4377423E-001	1.049799576091270E+000
09/03/2025 11:56:20.1378	1.4476345E-001	1.044378238212733E+000
09/03/2025 11:56:20.1578	1.4577451E-001	1.039148836396640E+000
09/03/2025 11:56:20.1778	1.4678392E-001	1.031687141810031E+000
09/03/2025 11:56:20.1978	1.4778167E-001	1.028230498855319E+000
09/03/2025 11:56:20.2178	1.4876945E-001	1.023330069560972E+000
09/03/2025 11:56:20.2378	1.4977889E-001	1.015641379480563E+000
09/03/2025 11:56:20.2578	1.5076879E-001	1.012935082842080E+000
09/03/2025 11:56:20.2778	1.5176654E-001	1.007330182525847E+000
09/03/2025 11:56:20.2978	1.5276146E-001	1.000715367496015E+000
09/03/2025 11:56:20.3178	1.5376917E-001	9.938002539177759E-001
09/03/2025 11:56:20.3378	1.5475985E-001	9.913597223866297E-001
09/03/2025 11:56:20.3578	1.5577315E-001	9.848889225266069E-001
09/03/2025 11:56:20.3778	1.5676539E-001	9.829452479672156E-001
09/03/2025 11:56:20.3978	1.5776670E-001	9.753467076871996E-001
09/03/2025 11:56:20.4178	1.5876095E-001	9.696356747816814E-001
09/03/2025 11:56:20.4378	1.5975940E-001	9.657348863677058E-001
09/03/2025 11:56:20.4578	1.6075881E-001	9.591962032847943E-001
09/03/2025 11:56:20.4778	1.6176879E-001	9.527946129544811E-001
09/03/2025 11:56:20.4978	1.6276801E-001	9.509500934121511E-001
09/03/2025 11:56:20.5178	1.6377538E-001	9.435832636534363E-001
09/03/2025 11:56:20.5378	1.6476050E-001	9.406228411114892E-001
09/03/2025 11:56:20.5578	1.6576889E-001	9.328474913102944E-001
09/03/2025 11:56:20.5778	1.6675332E-001	9.272605415123181E-001
09/03/2025 11:56:20.5978	1.6775617E-001	9.238346104717108E-001
09/03/2025 11:56:20.6178	1.6878305E-001	9.189456050387692E-001
09/03/2025 11:56:20.6378	1.6977082E-001	9.124887642036721E-001
09/03/2025 11:56:20.6578	1.7077863E-001	9.103857569086049E-001
09/03/2025 11:56:20.6778	1.7175643E-001	9.031675416562304E-001
09/03/2025 11:56:20.6978	1.7275822E-001	9.012584958949859E-001
09/03/2025 11:56:20.7178	1.7377071E-001	8.948559960764335E-001
09/03/2025 11:56:20.7378	1.7475693E-001	8.872427031811760E-001
09/03/2025 11:56:20.7578	1.7576008E-001	8.865936121696407E-001
09/03/2025 11:56:20.7778	1.7675976E-001	8.791980469185461E-001
09/03/2025 11:56:20.7978	1.7775866E-001	8.786206337519786E-001
09/03/2025 11:56:20.8178	1.7877468E-001	8.711111390859756E-001
09/03/2025 11:56:20.8378	1.7977202E-001	8.686373979887989E-001
09/03/2025 11:56:20.8578	1.8075302E-001	8.632968162807373E-001
09/03/2025 11:56:20.8778	1.8175891E-001	8.626372211405809E-001
09/03/2025 11:56:20.8978	1.8276922E-001	8.563987645838032E-001
09/03/2025 11:56:20.9178	1.8376765E-001	8.547641835692890E-001
09/03/2025 11:56:20.9378	1.8476701E-001	8.493957357067217E-001
09/03/2025 11:56:20.9578	1.8577516E-001	8.471523612841123E-001
09/03/2025 11:56:20.9778	1.8675154E-001	8.454125773989531E-001
09/03/2025 11:56:20.9978	1.8776418E-001	8.393374842384649E-001
09/03/2025 11:56:21.0178	1.8876883E-001	8.390202932577164E-001
09/03/2025 11:56:21.0378	1.8976833E-001	8.372667800738576E-001
09/03/2025 11:56:21.0578	1.9077453E-001	8.313330330678994E-001
09/03/2025 11:56:21.0778	1.9178215E-001	8.310284951908713E-001
09/03/2025 11:56:21.0978	1.9277255E-001	8.306011145727563E-001
09/03/2025 11:56:21.1178	1.9376938E-001	8.290989647826414E-001
09/03/2025 11:56:21.1378	1.9478482E-001	8.230771163685464E-001
09/03/2025 11:56:21.1578	1.9577374E-001	8.227835974863034E-001
09/03/2025 11:56:21.1778	1.9678219E-001	8.225417266496411E-001
09/03/2025 11:56:21.1978	1.9778529E-001	8.155598565936093E-001
09/03/2025 11:56:21.2178	1.9876021E-001	8.154141248928242E-001
09/03/2025 11:56:21.2378	1.9977076E-001	8.152540710030340E-001
09/03/2025 11:56:21.2578	2.0077391E-001	8.147676224923810E-001
09/03/2025 11:56:21.2778	2.0176305E-001	8.144237802674361E-001
09/03/2025 11:56:21.2978	2.0276426E-001	8.107307617966515E-001
09/03/2025 11:56:21.3178	2.0375994E-001	8.071834670586746E-001
09/03/2025 11:56:21.3378	2.0476775E-001	8.070659484817764E-001
09/03/2025 11:56:21.3578	2.0576134E-001	8.067867038771528E-001
09/03/2025 11:56:21.3778	2.0676512E-001	8.064908625868483E-001
09/03/2025 11:56:21.3978	2.0776942E-001	8.049391162478265E-001
09/03/2025 11:56:21.4178	2.0876236E-001	7.989577826940373E-001
09/03/2025 11:56:21.4378	2.0976740E-001	7.987988345945869E-001
09/03/2025 11:56:21.4578	2.1077417E-001	7.987311032290281E-001
09/03/2025 11:56:21.4778	2.1176308E-001	7.984215954525613E-001
09/03/2025 11:56:21.4978	2.1275911E-001	7.968247089431539E-001
09/03/2025 11:56:21.5178	2.1379265E-001	7.910658072990691E-001
09/03/2025 11:56:21.5378	2.1476354E-001	7.909184943160277E-001
09/03/2025 11:56:21.5578	2.1577644E-001	7.904753530811952E-001
09/03/2025 11:56:21.5778	2.1676707E-001	7.901608193707155E-001
09/03/2025 11:56:21.5978	2.1777101E-001	7.856335252937399E-001
09/03/2025 11:56:21.6178	2.1875495E-001	7.826800914481316E-001
09/03/2025 11:56:21.6378	2.1975385E-001	7.823297437797829E-001
09/03/2025 11:56:21.6578	2.2076526E-001	7.778508887212325E-001
09/03/2025 11:56:21.6778	2.2176361E-001	7.750304708671294E-001
09/03/2025 11:56:21.6978	2.2277310E-001	7.748447761146586E-001
09/03/2025 11:56:21.7178	2.2376820E-001	7.743770322865924E-001
09/03/2025 11:56:21.7378	2.2476122E-001	7.729466363477222E-001
09/03/2025 11:56:21.7578	2.2577336E-001	7.667688516796467E-001
09/03/2025 11:56:21.7778	2.2677885E-001	7.663689456466170E-001
09/03/2025 11:56:21.7978	2.2778530E-001	7.601001656407309E-001
09/03/2025 11:56:21.8178	2.2876783E-001	7.585355139647945E-001
09/03/2025 11:56:21.8378	2.2976452E-001	7.574574600180846E-001
09/03/2025 11:56:21.8578	2.3076962E-001	7.506960522797392E-001
09/03/2025 11:56:21.8778	2.3177491E-001	7.503466768604223E-001
09/03/2025 11:56:21.8978	2.3276858E-001	7.462331659367520E-001
09/03/2025 11:56:21.9178	2.3376080E-001	7.424541708702866E-001
09/03/2025 11:56:21.9378	2.3478048E-001	7.417564584563223E-001
09/03/2025 11:56:21.9578	2.3576719E-001	7.343273323753685E-001
09/03/2025 11:56:21.9778	2.3678155E-001	7.340210543738506E-001
09/03/2025 11:56:21.9978	2.3776124E-001	7.277191754741006E-001
09/03/2025 11:56:22.0178	2.3876472E-001	7.262140729775037E-001
09/03/2025 11:56:22.0378	2.3976514E-001	7.221024801644216E-001
09/03/2025 11:56:22.0578	2.4075852E-001	7.182985519369460E-001
09/03/2025 11:56:22.0778	2.4176122E-001	7.149637124190757E-001
09/03/2025 11:56:22.0978	2.4276248E-001	7.103503499076602E-001
09/03/2025 11:56:22.1178	2.4375185E-001	7.097423470372153E-001
09/03/2025 11:56:22.1378	2.4475408E-001	7.034948620841757E-001
09/03/2025 11:56:22.1578	2.4577290E-001	7.019155611698031E-001
09/03/2025 11:56:22.1778	2.4677159E-001	6.955920873313346E-001
09/03/2025 11:56:22.1978	2.4776065E-001	6.939186045072159E-001
09/03/2025 11:56:22.2178	2.4876547E-001	6.907008101439303E-001
09/03/2025 11:56:22.2378	2.4975215E-001	6.860188365293114E-001
09/03/2025 11:56:22.2578	2.5075352E-001	6.829544402038081E-001
09/03/2025 11:56:22.2778	2.5175071E-001	6.783279605830721E-001
09/03/2025 11:56:22.2978	2.5277570E-001	6.778466675120078E-001
09/03/2025 11:56:22.3178	2.5376055E-001	6.730226783288842E-001
09/03/2025 11:56:22.3378	2.5477502E-001	6.699448613346455E-001
09/03/2025 11:56:22.3578	2.5575438E-001	6.666585044521423E-001
09/03/2025 11:56:22.3778	2.5675547E-001	6.620549068061861E-001
09/03/2025 11:56:22.3978	2.5777167E-001	6.602941097484698E-001
09/03/2025 11:56:22.4178	2.5876319E-001	6.541706497987949E-001
09/03/2025 11:56:22.4378	2.5975871E-001	6.538139467334601E-001
09/03/2025 11:56:22.4578	2.6075584E-001	6.490884537601671E-001
09/03/2025 11:56:22.4778	2.6175052E-001	6.460332981724726E-001
09/03/2025 11:56:22.4978	2.6274201E-001	6.454993094214139E-001
09/03/2025 11:56:22.5178	2.6374805E-001	6.383352698240863E-001
09/03/2025 11:56:22.5378	2.6474929E-001	6.378334348814345E-001
09/03/2025 11:56:22.5578	2.6576412E-001	6.373094971188280E-001
09/03/2025 11:56:22.5778	2.6676106E-001	6.304511924584748E-001
09/03/2025 11:56:22.5978	2.6775843E-001	6.296146028778642E-001
09/03/2025 11:56:22.6178	2.6875788E-001	6.288962476990312E-001
09/03/2025 11:56:22.6378	2.6977491E-001	6.220913365379825E-001
09/03/2025 11:56:22.6578	2.7075681E-001	6.217208373774268E-001
09/03/2025 11:56:22.6778	2.7174702E-001	6.212228093192849E-001
09/03/2025 11:56:22.6978	2.7274966E-001	6.139666557622485E-001
09/03/2025 11:56:22.7178	2.7376172E-001	6.138505924286136E-001
09/03/2025 11:56:22.7378	2.7474618E-001	6.134447543364443E-001
09/03/2025 11:56:22.7578	2.7576771E-001	6.103672770679829E-001
09/03/2025 11:56:22.7778	2.7675256E-001	6.058675597111391E-001
09/03/2025 11:56:22.7978	2.7774888E-001	6.056955518304465E-001
09/03/2025 11:56:22.8178	2.7877855E-001	6.054939375672923E-001
09/03/2025 11:56:22.8378	2.7975461E-001	6.038355310964914E-001
09/03/2025 11:56:22.8578	2.8076947E-001	5.978997766764653E-001
09/03/2025 11:56:22.8778	2.8175819E-001	5.977771404820187E-001
09/03/2025 11:56:22.8978	2.8275368E-001	5.974827752862524E-001
09/03/2025 11:56:22.9178	2.8375193E-001	5.969598637376379E-001
09/03/2025 11:56:22.9378	2.8476617E-001	5.909784492622658E-001
09/03/2025 11:56:22.9578	2.8575605E-001	5.898110235834315E-001
09/03/2025 11:56:22.9778	2.8674179E-001	5.895891149735299E-001
09/03/2025 11:56:22.9978	2.8774893E-001	5.892922790307136E-001
09/03/2025 11:56:23.0178	2.8876460E-001	5.889915943456199E-001
09/03/2025 11:56:23.0378	2.8974158E-001	5.819500332387797E-001
09/03/2025 11:56:23.0578	2.9074767E-001	5.819970963833256E-001
09/03/2025 11:56:23.0778	2.9176781E-001	5.821585612268105E-001
09/03/2025 11:56:23.0978	2.9275590E-001	5.820527493746752E-001
09/03/2025 11:56:23.1178	2.9376584E-001	5.818361784331527E-001
