,date,number,sample,electrolyte,potential_sweep,time_diff,cycle_number,notes,window,order,drift_degree
20250903-01,20250903,01,S01,100mM HClO4,,-0.5999994277954102,9,"Note testing, let's see.
Can it handle new lines now?
Let's see, yup",30,0,2
20250903-02,20250903,02,S01,100mM HClO4,20mVps,0.0,2,,30,0,2
20250903-03,20250903,03,S01,100mM HClO4,50mV - 500mV,-0.1,2,,30,0,2
20250903-07,20250903,07,S01,100mM H2SO4,,-0.7999992370605469,2,,30,0,2
20250903-09,20250903,09,S01,100mM H2SO4,20mVps - 50mV - 1100mV,-1.0499986171722413,3,,20,0,2
20250903-12,20250903,12,S01,100mM H2SO4 + 50mM Cs2SO4,20mVps - 50mV - 1100mV,-1.2999991893768308,3,,30,0,1
20250922-01,20250922,01,D01,50mM H2SO4,20mVps - 50mV - 1100mV,-1.0499989986419682,2,"drift, hallo",21,0,3
20250924-01,20250924,01,D01,50mM H2SO4 + 50mM CsClO4,20mVps - 50mV - 1100mV,-0.6499989509582511,1,csclo4 noise,32,0,3
20250924-03,20250924,03,D01,50mM H2SO4 + 50mM LiClO4,20mVps - 50mV - 1100mV,-3.3999970436096154,2,drift,30,0,2
20250925-01,20250925,01,D01,50mM H2SO4 + 50mM NaClO4,20mVps - 50mV - 1100mV - 800mV,-1.2499993801116949,3,,30,0,2
20250926-01,20250926,01,D01,50mM H2SO4 + 50mM KClO4,20mVps - 50mV - 1100mV - 800mV,-3.0499979496002165,3,noise,30,0,2
20250926-04,20250926,04,D01,100mM HClO4,20mVps - 50mV - 1100mV - 700mV,-4.099997043609616,4,,30,0,2
20250926-05,20250926,05,D01,100mM HClO4 + 50mM CsClO4,20mVps - 50mV - 1100mV - 700mV,-2.249998188018798,4,,30,0,2
20250929-01,20250929,01,D01,100mM HClO4 + 50mM LiClO4,20mVps - 50mV - 1100mV - 700mV,-0.949998521804809,4,,30,0,4
20250929-02,20250929,02,D01,100mM LiOH,20mVps - 50mV - 1100mV - 700mV,-1.6999979019165041,4,very large drift (sigmoidal curve),30,0,10
20250929-06,20250929,06,D01,100mM LiOH + 50mM Li2SO4,20mVps - 50mV - 1100mV,-1.8499981880187988,3,,30,0,2
20250929-08,20250929,08,D01,100mM CsOH,20mVps - 50mV - 1100mV,-1.449998712539673,4,,30,0,2
20250930-01,20250930,01,D01,100mM CsOH + 50mM Cs2SO4,20mVps - 50mV - 1100mV - 650mV,-3.149996995925904,2,"drift, ugly cv",30,0,2
20250930-02,20250930,02,D01,100mM LiOH + 50mM LiClO4,20mVps - 50mV - 1100mV - 650mV,-2.499997615814209,1,"drift, ugly cv",30,0,2
20250930-03,20250930,03,D01,100mM CsOH + 50mM CsClO4,20mVps - 50mV - 1100mV - 650mV,-3.599996566772461,5,"drift, heavy noise: CsClO4 is the issue maybe.",30,0,2
